nodes,distance
"[103022495, 2326711403]",3.183274
"[11680843775, 11680828340]",2.750396
"[103022495, 2326711403]",6.821668
"[2499827594, 103022495]",7.654278
"[2499827594, 6586714568]",8.872828
"[3382999533, 2499827594]",8.185117
"[84785562, 3382999533]",10.612445
"[84785562, 3382999533]",10.763761
"[84785562, 3382999533]",10.232529
"[3538936682, 84785562]",9.949886
"[3538936682, 84785562]",9.949886
"[3538936682, 84785562]",11.626996
"[3538936682, 317968560]",8.648293
"[3538936682, 317968560]",6.009859
"[3538936682, 317968560]",3.615899
"[3538936682, 317968560]",0.391842
"[3538936682, 317968560]",5.863551
"[3538936682, 11907257852]",8.694063
"[11907257852, 84785560]",7.547023
"[84785560, 104824111]",6.632733
"[84785560, 104824111]",6.782403
"[84785560, 104824111]",6.167736
"[84785560, 104824111]",4.953801
"[104824111, 6586912734]",2.407825
"[6586912735, 84785559]",4.47819
"[6586912735, 84785559]",3.263344
"[6586912735, 84785559]",3.795366
"[6586912735, 84785559]",2.580509
"[84785559, 84785558]",3.414229
"[84785559, 84785558]",2.882362
"[84785559, 84785558]",1.516715
"[84785559, 84785558]",0.985281
"[84785559, 84785558]",0.151867
"[84785559, 84785558]",0.532184
"[84785559, 84785558]",0.151867
"[84785559, 84785558]",0.382476
"[84785559, 84785558]",1.064367
"[84785559, 84785558]",1.516715
"[84785558, 104770002]",1.147427
"[84785558, 104770002]",0.532184
"[84785558, 104770002]",1.446393
"[84785558, 104770002]",0.914303
"[84785558, 104770002]",0.914303
"[6596797535, 104770002]",1.446393
"[6596797535, 104770002]",2.811321
"[6596797541, 6596797540]",0.244612
"[6596797535, 104770002]",4.489221
"[1497603130, 6596797535]",4.107206
"[1497603130, 6596797535]",2.660918
"[1497603130, 1497603128]",1.446393
"[1497603130, 1497603128]",2.279157
"[1497603128, 317968620]",0.0
"[1497603128, 1497603123]",1.741287
"[84798026, 8932529787]",3.414229
"[1497603128, 1497603123]",3.999489
"[8932529787, 84798025]",4.248038
"[8932529787, 84798025]",4.399063
"[84798025, 1497603121]",1.087088
"[84798025, 1497603121]",0.764952
"[1497603121, 84798024]",2.826591
"[1497603121, 84798024]",4.05755
"[1497603118, 1497603115]",3.01169
"[84798024, 84798023]",3.720191
"[84798024, 84798023]",1.46039
"[84798024, 84798023]",1.557086
"[84798023, 84796872]",0.760625
"[84798023, 84796872]",0.86061
"[84796870, 4491335813]",1.247456
"[84796872, 84796870]",3.800866
"[84796873, 84796872]",6.377203
"[84796873, 84796872]",4.579759
"[6601411960, 104768132]",3.430505
"[6601411960, 104768132]",3.222596
"[6601411960, 104768132]",0.727683
"[6601411960, 104768132]",6.550082
"[6045788863, 3301694905]",7.307724
"[6045788865, 84782622]",8.032028
"[6045788865, 84782622]",8.653773
"[11539356700, 6045788865]",2.878509
"[11539356700, 6045788865]",0.332136
"[6045788865, 84787075]",6.149295
"[6045788865, 84787075]",5.941944
"[6045788865, 84787075]",6.252984
"[6045788865, 84787075]",7.297854
"[6045788865, 84787075]",7.608857
"[6045788865, 84787075]",9.1721
"[6045788865, 84787075]",8.861084
"[6045788865, 84787075]",10.83903
"[6045788864, 84787075]",7.973967
"[6045788864, 84787075]",1.77139
"[6045788864, 84787075]",3.654971
"[6045788864, 84787075]",8.52735
"[1497570487, 84787075]",12.388432
"[1497570487, 84787075]",13.1212
"[1497570487, 84787075]",13.224974
"[1497570487, 84787075]",14.995657
"[1497570487, 84787075]",15.722128
"[1497570487, 84787075]",15.099431
"[1497570487, 84787075]",15.203208
"[1497570487, 84787075]",13.6401
"[1497570487, 6641473260]",10.72792
"[6641473260, 104767698]",10.188163
"[6641473260, 104767698]",8.964749
"[6641473260, 104767698]",7.71254
"[6641473260, 104767698]",8.446492
"[6641473260, 104767698]",4.897147
"[6641473260, 104767698]",5.112995
"[6641473260, 104767698]",5.527368
"[6641473260, 104767698]",5.838283
"[6641473260, 104767698]",4.275065
"[6641473260, 104767698]",4.171432
"[6641473260, 104767698]",1.874457
"[104767698, 6644181816]",1.663929
"[11347697026, 104767698]",0.623728
"[11347697026, 104767698]",0.623728
"[11347697026, 104767698]",0.0
"[11347697026, 104767698]",0.519774
"[11347697026, 104767698]",0.103955
"[11347697026, 104767698]",0.831638
"[11347697026, 104767698]",1.666956
"[11347697026, 104767698]",2.289682
"[11347697026, 104767698]",3.120606
"[11347697026, 104767698]",2.39352
"[104768131, 11347697026]",0.519774
"[104768131, 11347697026]",0.415819
"[104768131, 11347697026]",0.935592
"[104768131, 11347697026]",0.0
"[5701485499, 6603858999]",0.661865
"[5701485499, 6603858999]",0.330933
"[5701485499, 6603858999]",0.86061
"[5701485499, 6603858999]",1.42212
"[10583987392, 10583987399]",2.381521
"[5701485499, 6603858999]",1.521251
"[5701485499, 6603858999]",1.19076
"[5701485499, 6603858999]",1.752973
"[10583987391, 10583987392]",2.051244
"[11335293279, 5701485499]",0.86061
"[11335293279, 5701485499]",0.760625
"[11335293279, 5701485499]",0.564972
"[11335293279, 5701485499]",0.760625
"[11335293279, 5701485499]",0.992798
"[11335293279, 5701485499]",1.19076
"[11335293279, 5701485499]",1.32373
"[11335293279, 5701485499]",1.290915
"[11335293279, 5701485499]",0.86061
"[11335293279, 5701485499]",1.851899
"[11335293279, 5701485499]",1.521251
"[11335293279, 5701485499]",0.992798
"[1497570415, 6644282410]",2.182633
"[1497570415, 6644282410]",3.175085
